Summary,Issue key,Issue id,Work type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Asset type),Custom field (Asset type),Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Department),Custom field (Department),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Priority),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Verificarea funcționalității videoclipului integrat în site-ul web (de sub cb_menu): ”iluminat public Techirghiol”,NPT-121,19643,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 7:50 PM,27/Feb/25 3:24 PM,27/Feb/25 11:33 PM,25/Jul/24 8:14 PM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea faptului că funcțiile și rularea videoclipului menționat în sumar nu au probleme pe site-ul web al primăriei Techirghiol.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final utilizează browser-ul Google Chrome pentru a accesa pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* În cadrul videoclipului nu se află butoane sau alte elemente care nu au legătură cu videoclipul.
* Butoanele redirecționează corect utilizatorul final.
* Opțiunile existente pentru videoclip în site-ul web funcționează conform așteptărilor.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-41,NPT-42,NPT-43,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55995592,,,,,,,,,,,,NPT-24,Videoclipul integrat în site-ul web (de sub cb_menu),,,,,,,,,,,,,,,,,0|i01fdl:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_1437011_*|*_10000_*:*_1_*:*_891_*|*_10001_*:*_1_*:*_0,18796,Videoclipul integrat în site-ul web (de sub cb_menu),Done,25/Jul/24 8:14 PM
Verificarea compatibilității meniului ”RUTI conform SNA” cu Samsung Galaxy S20 Ultra,NPT-119,19641,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 1:49 PM,25/Jul/24 2:04 PM,27/Feb/25 11:33 PM,25/Jul/24 1:49 PM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea faptului că meniul menționat în sumar se prezintă aproximativ la fel pe Samsung Galaxy S20 Ultra (fără să fie generate defecte), fiind utilizat browser-ul Google Chrome, ca și atunci când utilizatorul final interacționează cu meniul utilizând calculatorul personal. 

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final utilizează browser-ul Google Chrome pentru a accesa pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-120,NPT-44,NPT-45,NPT-46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3ab282e,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,,0|i01fd5:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_495_*|*_10001_*:*_1_*:*_0,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 1:49 PM
Verificarea compatibilității meniului ”RUTI conform SNA” cu iPad Pro,NPT-117,19639,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 1:27 PM,25/Jul/24 2:04 PM,27/Feb/25 11:32 PM,25/Jul/24 1:27 PM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea faptului că meniul menționat în sumar se prezintă aproximativ la fel pe iPad Pro (fără să fie generate defecte), fiind utilizat browser-ul Google Chrome, ca și atunci când utilizatorul final interacționează cu meniul utilizând calculatorul personal. 

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final utilizează browser-ul Google Chrome pentru a accesa pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-118,NPT-44,NPT-45,NPT-46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d4fe06a,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,,0|i01fcp:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_641_*|*_10001_*:*_1_*:*_0,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 1:27 PM
Verificarea compatibilității meniului ”RUTI conform SNA” cu browser-ul Microsoft Edge,NPT-115,19637,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 1:11 PM,25/Jul/24 2:03 PM,27/Feb/25 11:32 PM,25/Jul/24 1:11 PM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea faptului că meniul menționat în sumar se prezintă exact la fel pe browser-ul Microsoft Edge, ca și atunci când utilizatorul final interacționează cu meniul utilizând browser-ul Google Chrome.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Microsoft Edge, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-116,NPT-44,NPT-45,NPT-46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@12a1492d,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,,0|i01fc9:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_515_*|*_10001_*:*_1_*:*_0,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 1:11 PM
Verificarea compatibilității meniului ”RUTI conform SNA” cu browser-ul Mozilla Firefox,NPT-111,19633,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 8:13 AM,25/Jul/24 2:02 PM,27/Feb/25 11:31 PM,25/Jul/24 8:13 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea faptului că meniul menționat în sumar se prezintă exact la fel pe browser-ul Mozilla Firefox, ca și atunci când utilizatorul final interacționează cu meniul utilizând browser-ul Google Chrome.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Mozilla Firefox, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-112,NPT-44,NPT-45,NPT-46,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30270,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,,0|i01fbl:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_479_*|*_10001_*:*_1_*:*_0,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 8:13 AM
Verificarea structurii și a funcționalității meniului ”RUTI conform SNA”,NPT-109,19631,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 7:37 AM,25/Jul/24 8:09 AM,27/Feb/25 11:30 PM,25/Jul/24 8:09 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea faptului că meniul menționat în sumar este conform așteptărilor.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final utilizează browser-ul Google Chrome pentru a accesa pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* Titlului meniului i s-a aplicat un font potrivit și o culoare potrivită, fiind și corect amplasat.
* În cadrul meniului nu se află butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-44,NPT-45,NPT-46,NPT-110,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@697f79f0,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,,0|i01fb5:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_1908130_*|*_10000_*:*_1_*:*_772_*|*_10001_*:*_1_*:*_0,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 8:09 AM
Verificarea compatibilității meniului ”Link-uri Utile” cu browser-ul Microsoft Edge,NPT-100,19622,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 6:09 AM,25/Jul/24 3:24 PM,27/Feb/25 11:28 PM,25/Jul/24 7:16 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea faptului că meniul menționat în sumar se prezintă exact la fel pe browser-ul Microsoft Edge, ca și atunci când utilizatorul final interacționează cu meniul utilizând browser-ul Google Chrome.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Microsoft Edge, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-52,NPT-56,NPT-57,NPT-49,NPT-50,NPT-51,NPT-53,NPT-54,NPT-107,NPT-108,NPT-55,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@12ddfeaa,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01f95:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_4008406_*|*_10000_*:*_1_*:*_720_*|*_10001_*:*_1_*:*_0,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:16 AM
Verificarea compatibilității meniului ”Link-uri Utile” cu Samsung Galaxy S20 Ultra,NPT-99,19621,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 5:48 AM,25/Jul/24 3:27 PM,27/Feb/25 11:26 PM,25/Jul/24 7:16 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea faptului că meniul menționat în sumar se prezintă aproximativ la fel pe Samsung Galaxy S20 Ultra (fără să fie generate defecte), fiind utilizat browser-ul Google Chrome, ca și atunci când utilizatorul final interacționează cu meniul utilizând calculatorul personal. 

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final utilizează browser-ul Google Chrome pentru a accesa pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-52,NPT-56,NPT-57,NPT-49,NPT-50,NPT-51,NPT-105,NPT-106,,,NPT-53,NPT-55,NPT-54,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4811f259,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01f8x:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_5287730_*|*_10000_*:*_1_*:*_706_*|*_10001_*:*_1_*:*_0,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:16 AM
Verificarea compatibilității meniului ”Link-uri Utile” cu browser-ul Mozilla Firefox,NPT-95,19617,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 2:34 AM,25/Jul/24 3:24 PM,27/Feb/25 11:24 PM,25/Jul/24 7:16 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea faptului că meniul menționat în sumar se prezintă exact la fel pe browser-ul Mozilla Firefox, ca și atunci când utilizatorul final interacționează cu meniul utilizând browser-ul Google Chrome.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Mozilla Firefox, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-52,NPT-53,NPT-54,NPT-56,NPT-57,NPT-49,NPT-50,NPT-51,NPT-103,NPT-104,NPT-55,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@283481da,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01f89:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_16941473_*|*_10000_*:*_1_*:*_880_*|*_10001_*:*_1_*:*_0,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:16 AM
Verificarea compatibilității meniului ”Link-uri Utile” cu iPad Pro,NPT-94,19616,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 2:18 AM,25/Jul/24 3:24 PM,27/Feb/25 11:22 PM,25/Jul/24 7:16 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea faptului că meniul menționat în sumar se prezintă aproximativ la fel pe iPad Pro (fără să fie generate defecte), fiind utilizat browser-ul Google Chrome, ca și atunci când utilizatorul final interacționează cu meniul utilizând calculatorul personal. 

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final utilizează browser-ul Google Chrome pentru a accesa pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-52,NPT-53,NPT-54,NPT-56,NPT-57,NPT-49,NPT-50,NPT-51,NPT-101,NPT-102,NPT-55,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55610d72,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01f81:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_17636150_*|*_10000_*:*_1_*:*_247095_*|*_10001_*:*_1_*:*_0,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:16 AM
