Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Asset type),Custom field (Asset type),Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Department),Custom field (Department),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Priority),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Severity),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Drapelul ”României” cu nivel ridicat de transparență,NPT-83,18888,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,18/Jun/24 5:21 PM,18/Jun/24 5:35 PM,18/Jun/24 5:35 PM,18/Jun/24 5:35 PM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea drapelului ”României”.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe site-ul web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Drapelul este corect amplasat.
* Drapelul nu prezintă probleme legate de aspectul vizual, și nu afectează poziționarea celorlalte elemente.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-40,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@13a35796,,,,,,,,,,,,NPT-22,Header/cb_logo,,,,,,,,,,,,,,,,0|i01bex:,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_815497_*|*_10001_*:*_1_*:*_0,,,18794,Header/cb_logo,Done,18/Jun/24 5:35 PM
”Programul Operațional ”Dezvoltarea Capacității Admnistrative”,NPT-81,18886,Bug,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,18/Jun/24 5:08 PM,18/Jun/24 5:15 PM,18/Jun/24 5:08 PM,18/Jun/24 5:15 PM,Primariatechirghiol.ro_versiunea_1.0_limba_română,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"”Programul Operațional ”Dezvoltarea Capacității Admnistrative” are ghilimele, fără să fie completate de către alte ghilimele, adăugate lângă ”Dezvoltarea”, în stânga.

*Precondiții* 

* Este utilizat pentru testare un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Prezența trebuie să fie realizată pe site-ul web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Pași de reproducere*

* Se accesează pagina principală a [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].
* Se vizualizează textul ”Programul Operațional ”Dezvoltarea Capacității Admnistrative”.

*Rezultate așteptate*

* Textul nu prezintă alte erori.

*Rezultate actuale*

* În cadrul textului sunt adăugate ghilimele fără să fie completate de către alte ghilimele.",testare,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-39,,,NPT-80,,,,,,,,,,18/Jun/24 5:14 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Screenshot (17912).png;https://itfclasses.atlassian.net/rest/api/3/attachment/content/11468,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5625020f,,,,,,,,,,,,NPT-22,Header/cb_logo,,,,,,,,,,,,,,,,0|i01bep:,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_390765_*|*_10001_*:*_1_*:*_0,"18/Jun/24 5:14 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;

!Screenshot (17912).png|width=146,height=55,alt=""Screenshot (17912).png""!",,18794,Header/cb_logo,Done,18/Jun/24 5:15 PM
Textele: ”Inovație în administrație” + ”Programul Operațional ”Dezvoltarea Capacității Admnistrative”,NPT-80,18885,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,18/Jun/24 4:49 PM,18/Jun/24 5:15 PM,18/Jun/24 5:15 PM,18/Jun/24 5:15 PM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea textelor ”Inovație în administrație” și ”Programul Operațional ”Dezvoltarea Capacității Admnistrative”.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe site-ul web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Textele nu au greșeli gramaticale, și nu conțin nici greșeli de exprimare.
* Textele nu prezintă alte erori.
* Textele nu prezintă probleme legate de aspectul vizual, și nu afectează poziționarea celorlalte elemente.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-39,NPT-81,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7aa32c3c,,,,,,,,,,,,NPT-22,Header/cb_logo,,,,,,,,,,,,,,,,0|i01beh:,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_1561410_*|*_10001_*:*_1_*:*_0,,,18794,Header/cb_logo,Done,18/Jun/24 5:15 PM
Logo-ul ”PODCA”,NPT-79,18884,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,18/Jun/24 4:44 PM,18/Jun/24 5:01 PM,18/Jun/24 5:01 PM,18/Jun/24 5:01 PM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea logo-ului.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe site-ul web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Logo-ul este corect amplasat.
* Logo-ul nu prezintă probleme legate de aspectul vizual, și nu afectează poziționarea celorlalte elemente.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-39,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@20d330f5,,,,,,,,,,,,NPT-22,Header/cb_logo,,,,,,,,,,,,,,,,0|i01be9:,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_985642_*|*_10001_*:*_1_*:*_0,,,18794,Header/cb_logo,Done,18/Jun/24 5:01 PM
apl@primariatechirghiol.ro din header/cb_logo,NPT-78,18883,Bug,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,18/Jun/24 4:21 PM,18/Jun/24 5:16 PM,18/Jun/24 5:16 PM,18/Jun/24 4:31 PM,Primariatechirghiol.ro_versiunea_1.0_limba_română,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"apl@primariatechirghiol.ro-ul din headline-ul/cb_logo-ul site-ului web are litera ”g” incomplet vizibilă

*Precondiții* 

* Este utilizat pentru testare un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Prezența trebuie să fie realizată pe site-ul web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Pași de reproducere*

* Se accesează pagina principală a [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].
* Se vizualizează textul ”apl@primariatechirghiol.ro”.

*Rezultate așteptate*

* Textul nu prezintă alte erori.

*Rezultate actuale*

* În cadrul textului, litera ”g” este incomplet vizibilă.",testare,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-71,,,NPT-71,,,,,,,,,,18/Jun/24 4:35 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Screenshot (17911).png;https://itfclasses.atlassian.net/rest/api/3/attachment/content/11467,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6443ec66,,,,,,,,,,,,NPT-22,Header/cb_logo,,,,,,,,,,,,,,,,0|i01be1:,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_626493_*|*_10001_*:*_1_*:*_0,"18/Jun/24 4:35 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;

!Screenshot (17911).png|width=554,height=47,alt=""Screenshot (17911).png""!",,18794,Header/cb_logo,Done,18/Jun/24 4:31 PM
Lipsă diacritică la ”ROMANIEI”,NPT-77,18882,Bug,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,18/Jun/24 4:10 PM,18/Jun/24 5:16 PM,18/Jun/24 5:16 PM,18/Jun/24 4:11 PM,Primariatechirghiol.ro_versiunea_1.0_limba_română,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"”ROMANIEI” trebuia să fie de fapt: ROMÂNIEI

*Precondiții* 

* Este utilizat pentru testare un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Prezența trebuie să fie realizată pe site-ul web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Pași de reproducere*

* Se accesează pagina principală a [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].
* Se vizualizează textul ”GUVERNUL ROMANIEI”.

*Rezultate așteptate*

* Textul nu prezintă alte erori.

*Rezultate actuale*

* În cadrul textului lipsește o diacritică.",testare,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-76,,,NPT-75,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38feeb1d,,,,,,,,,,,,NPT-22,Header/cb_logo,,,,,,,,,,,,,,,,0|i01bdt:,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_62302_*|*_10001_*:*_1_*:*_0,,,18794,Header/cb_logo,Done,18/Jun/24 4:11 PM
Textele: ”GUVERNUL ROMANIEI” + ”Ministerul Administrației și Internelor”,NPT-76,18881,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,18/Jun/24 4:04 PM,18/Jun/24 4:15 PM,18/Jun/24 4:59 PM,18/Jun/24 4:15 PM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea textelor ”GUVERNUL ROMANIEI” și ”Ministerul Administrației și Internelor”.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe site-ul web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Textele nu au greșeli gramaticale, și nu conțin nici greșeli de exprimare.
* Textele nu prezintă alte erori.
* Textele nu prezintă probleme legate de aspectul vizual, și nu afectează poziționarea celorlalte elemente.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-38,,,NPT-77,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c8db5ba,,,,,,,,,,,,NPT-22,Header/cb_logo,,,,,,,,,,,,,,,,0|i01bdl:,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_681209_*|*_10001_*:*_1_*:*_0,,,18794,Header/cb_logo,Done,18/Jun/24 4:15 PM
Stema ”României”,NPT-75,18880,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,18/Jun/24 12:57 PM,18/Jun/24 5:03 PM,18/Jun/24 5:00 PM,18/Jun/24 4:15 PM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea stemei.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe site-ul web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Stema este corect amplasată.
* Stema nu prezintă probleme legate de aspectul vizual, și nu afectează poziționarea celorlalte elemente.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-38,NPT-77,ST6-37,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6ada7796,,,,,,,,,,,,NPT-22,Header/cb_logo,,,,,,,,,,,,,,,,0|i01bdd:,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_11880186_*|*_10001_*:*_1_*:*_0,,,18794,Header/cb_logo,Done,18/Jun/24 4:15 PM
Textele: ”UNIUNEA EUROPEANĂ” + ”Fondul Social European”,NPT-74,18879,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,18/Jun/24 2:19 AM,18/Jun/24 2:39 AM,18/Jun/24 6:43 PM,18/Jun/24 2:39 AM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea textelor ”UNIUNEA EUROPEANĂ” și ”Fondul Social European”.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe site-ul web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Textele nu au greșeli gramaticale, și nu conțin nici greșeli de exprimare.
* Textele nu prezintă alte erori.
* Textele nu prezintă probleme legate de aspectul vizual, și nu afectează poziționarea celorlalte elemente.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-37,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b282952,,,,,,,,,,,,NPT-22,Header/cb_logo,,,,,,,,,,,,,,,,0|i01bd5:,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_1192319_*|*_10001_*:*_1_*:*_0,,,18794,Header/cb_logo,Done,18/Jun/24 2:39 AM
Drapelul ”Uniunii Europene”,NPT-73,18878,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,18/Jun/24 2:13 AM,18/Jun/24 2:39 AM,18/Jun/24 5:17 PM,18/Jun/24 2:36 AM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Verificarea drapelului ”Uniunii Europene”.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe site-ul web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Drapelul este corect amplasat.
* Drapelul este corect ales pentru textele cu care este corelat.
* Drapelul nu prezintă probleme legate de aspectul vizual, și nu afectează poziționarea celorlalte elemente.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-37,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@891c79,,,,,,,,,,,,NPT-22,Header/cb_logo,,,,,,,,,,,,,,,,0|i01bcx:,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_1342951_*|*_10001_*:*_1_*:*_0,,,18794,Header/cb_logo,Done,18/Jun/24 2:36 AM
