Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Asset type),Custom field (Asset type),Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Department),Custom field (Department),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Priority),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Verificarea funcționalității videoclipului integrat în site-ul web (de sub cb_menu): ”iluminat public Techirghiol”,NPT-121,19643,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 7:50 PM,25/Jul/24 8:14 PM,25/Jul/24 8:17 PM,25/Jul/24 8:14 PM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,,0,"Verificarea faptului că funcțiile și rularea videoclipului menționat în sumar nu au probleme pe site-ul web al primăriei Techirghiol.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final utilizează browser-ul Google Chrome pentru a accesa pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* În cadrul videoclipului nu se află butoane sau alte elemente care nu au legătură cu videoclipul.
* Butoanele redirecționează corect utilizatorul final.
* Opțiunile existente pentru videoclip în site-ul web funcționează conform așteptărilor.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-41,NPT-42,NPT-43,NPT-24,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@70665f94,,,,,,,,,,,,NPT-24,Videoclipul integrat în site-ul web (de sub cb_menu),,,,,,,,,,,,,,,,0|i01fdl:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_1437011_*|*_10000_*:*_1_*:*_891_*|*_10001_*:*_1_*:*_0,,,18796,Videoclipul integrat în site-ul web (de sub cb_menu),Done,25/Jul/24 8:14 PM
(Samsung Galaxy S20 Ultra) Documentul: ”Raport privind Strategia Nationala Anticoruptie pe anul 2019” nu are așezate corespunzător imaginile,NPT-120,19642,Bug,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 1:55 PM,25/Jul/24 8:29 PM,25/Jul/24 8:29 PM,25/Jul/24 1:56 PM,Primariatechirghiol.ro_versiunea_1.0_limba_română,Primariatechirghiol.ro_versiunea_1.0_limba_română,,,0,"Documentului amintit în sumar nu i s-au așezat într-un mod corespunzător imaginile.

*Precondiții* 

* Este utilizat pentru testare un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Prezența trebuie să fie realizată pe pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Pași de reproducere*

* Se accesează pagina principală a [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].
* Se apasă pe tasta ”F12” a tastaturii de pe suprafața pe care este așezată, și se caută opțiunea ”Dimensiuni” (aproximativ pe mijlocul ecranul).
* Se apasă pe ”Dimensiuni”, și din lista de opțiuni ce se afișează va fi selectat: Samsung Galaxy S20 Ultra. 
* Pe urmă, se caută meniul ”RUTI conform SNA”.
* Se indentifică secțiunea: ”Rapoarte anuale”.
* Se apasă butonul stâng al mouse-ului/șoarecelui de pe suprafața pe care este așezată, click-ul fiind poziționat pe secțiunea: ”Rapoarte anuale”.
* După, se apasă butonul stâng al mouse-ului/șoarecelui de pe suprafața pe care este așezată, click-ul fiind poziționat pe documentul: ”Raport privind Strategia Nationala Anticoruptie pe anul 2019”.
* Se verifică așezarea imaginilor din document.

*Rezultate așteptate*

* Imaginile din document sunt așezate în mod corespunzător.

*Rezultate actuale*

* Imaginile din document nu sunt așezate corespunzător.",testing,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-46,,,,,,,,,,NPT-119,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@531d90a,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,0|i01fdd:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_28782_*|*_10001_*:*_1_*:*_0,,,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 1:56 PM
Verificarea compatibilității meniului ”RUTI conform SNA” cu Samsung Galaxy S20 Ultra,NPT-119,19641,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 1:49 PM,25/Jul/24 2:04 PM,25/Jul/24 8:29 PM,25/Jul/24 1:49 PM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,,0,"Verificarea faptului că meniul menționat în sumar se prezintă aproximativ la fel pe Samsung Galaxy S20 Ultra (fără să fie generate defecte), fiind utilizat browser-ul Google Chrome, ca și atunci când utilizatorul final interacționează cu meniul utilizând calculatorul personal. 

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final utilizează browser-ul Google Chrome pentru a accesa pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-120,NPT-44,NPT-45,NPT-46,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@454e4f9,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,0|i01fd5:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_495_*|*_10001_*:*_1_*:*_0,,,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 1:49 PM
(iPad Pro) Documentul: ”Raport privind Strategia Nationala Anticoruptie pe anul 2019” nu are așezate corespunzător imaginile,NPT-118,19640,Bug,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 1:40 PM,25/Jul/24 8:29 PM,25/Jul/24 8:29 PM,25/Jul/24 1:43 PM,Primariatechirghiol.ro_versiunea_1.0_limba_română,Primariatechirghiol.ro_versiunea_1.0_limba_română,,,0,"Documentului amintit în sumar nu i s-au așezat într-un mod corespunzător imaginile.

*Precondiții* 

* Este utilizat pentru testare un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Prezența trebuie să fie realizată pe pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Pași de reproducere*

* Se accesează pagina principală a [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].
* Se apasă pe tasta ”F12” a tastaturii de pe suprafața pe care este așezată, și se caută opțiunea ”Dimensiuni” (aproximativ pe mijlocul ecranul).
* Se apasă pe ”Dimensiuni”, și din lista de opțiuni ce se afișează va fi selectat: iPad Pro. 
* Pe urmă, se caută meniul ”RUTI conform SNA”.
* Se indentifică secțiunea: ”Rapoarte anuale”.
* Se apasă butonul stâng al mouse-ului/șoarecelui de pe suprafața pe care este așezată, click-ul fiind poziționat pe secțiunea: ”Rapoarte anuale”.
* După, se apasă butonul stâng al mouse-ului/șoarecelui de pe suprafața pe care este așezată, click-ul fiind poziționat pe documentul: ”Raport privind Strategia Nationala Anticoruptie pe anul 2019”.
* Se verifică așezarea imaginilor din document.

*Rezultate așteptate*

* Imaginile din document sunt așezate în mod corespunzător.

*Rezultate actuale*

* Imaginile din document nu sunt așezate corespunzător.",testare,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-46,,,,,,,,,,NPT-117,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6fc4f838,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,0|i01fcx:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_162839_*|*_10001_*:*_1_*:*_0,,,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 1:43 PM
Verificarea compatibilității meniului ”RUTI conform SNA” cu iPad Pro,NPT-117,19639,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 1:27 PM,25/Jul/24 2:04 PM,25/Jul/24 8:29 PM,25/Jul/24 1:27 PM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,,0,"Verificarea faptului că meniul menționat în sumar se prezintă aproximativ la fel pe iPad Pro (fără să fie generate defecte), fiind utilizat browser-ul Google Chrome, ca și atunci când utilizatorul final interacționează cu meniul utilizând calculatorul personal. 

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Google Chrome, împreună cu un set de periferice și monitor.
* Utilizatorul final utilizează browser-ul Google Chrome pentru a accesa pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-118,NPT-44,NPT-45,NPT-46,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55ee1489,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,0|i01fcp:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_641_*|*_10001_*:*_1_*:*_0,,,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 1:27 PM
(Microsoft Edge) Documentul: ”Raport privind Strategia Nationala Anticoruptie pe anul 2019” nu are așezate corespunzător imaginile,NPT-116,19638,Bug,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 1:19 PM,25/Jul/24 8:29 PM,25/Jul/24 8:29 PM,25/Jul/24 1:24 PM,Primariatechirghiol.ro_versiunea_1.0_limba_română,Primariatechirghiol.ro_versiunea_1.0_limba_română,,,0,"Documentului amintit în sumar nu i s-au așezat într-un mod corespunzător imaginile.

*Precondiții* 

* Este utilizat pentru testare un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Microsoft Edge, împreună cu un set de periferice și monitor.
* Prezența trebuie să fie realizată pe pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Pași de reproducere*

* Se accesează pagina principală a [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].
* Pe urmă, se caută meniul ”RUTI conform SNA”.
* Se indentifică secțiunea: ”Rapoarte anuale”.
* Se apasă butonul stâng al mouse-ului/șoarecelui de pe suprafața pe care este așezată, click-ul fiind poziționat pe secțiunea: ”Rapoarte anuale”.
* După, se apasă butonul stâng al mouse-ului/șoarecelui de pe suprafața pe care este așezată, click-ul fiind poziționat pe documentul: ”Raport privind Strategia Nationala Anticoruptie pe anul 2019”.
* Se verifică așezarea imaginilor din document.

*Rezultate așteptate*

* Imaginile din document sunt așezate în mod corespunzător.

*Rezultate actuale*

* Imaginile din document nu sunt așezate corespunzător.",testare,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-46,,,,,,,,,,NPT-115,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3010388b,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,0|i01fch:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_289678_*|*_10001_*:*_1_*:*_0,,,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 1:24 PM
Verificarea compatibilității meniului ”RUTI conform SNA” cu browser-ul Microsoft Edge,NPT-115,19637,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 1:11 PM,25/Jul/24 2:03 PM,25/Jul/24 8:29 PM,25/Jul/24 1:11 PM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,,0,"Verificarea faptului că meniul menționat în sumar se prezintă exact la fel pe browser-ul Microsoft Edge, ca și atunci când utilizatorul final interacționează cu meniul utilizând browser-ul Google Chrome.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Microsoft Edge, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-116,NPT-44,NPT-45,NPT-46,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@13c07526,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,0|i01fc9:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_515_*|*_10001_*:*_1_*:*_0,,,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 1:11 PM
(Mozilla Firefox) Documentul: ”Raport privind Strategia Nationala Anticoruptie pe anul 2019” nu are așezate corespunzător imaginile,NPT-112,19634,Bug,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 8:30 AM,25/Jul/24 8:29 PM,25/Jul/24 8:29 PM,25/Jul/24 8:31 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,Primariatechirghiol.ro_versiunea_1.0_limba_română,,,0,"Documentului amintit în sumar nu i s-au așezat într-un mod corespunzător imaginile.

*Precondiții* 

* Este utilizat pentru testare un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Mozilla Firefox, împreună cu un set de periferice și monitor.
* Prezența trebuie să fie realizată pe pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Pași de reproducere*

* Se accesează pagina principală a [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].
* Pe urmă, se caută meniul ”RUTI conform SNA”.
* Se indentifică secțiunea: ”Rapoarte anuale”.
* Se apasă butonul stâng al mouse-ului/șoarecelui de pe suprafața pe care este așezată, click-ul fiind poziționat pe secțiunea: ”Rapoarte anuale”.
* După, se apasă butonul stâng al mouse-ului/șoarecelui de pe suprafața pe care este așezată, click-ul fiind poziționat pe documentul: ”Raport privind Strategia Nationala Anticoruptie pe anul 2019”.
* Se verifică așezarea imaginilor din document.

*Rezultate așteptate*

* Imaginile din document sunt așezate în mod corespunzător.

*Rezultate actuale*

* Imaginile din document nu sunt așezate corespunzător.",testare,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-46,,,,,,,,,,NPT-111,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d4b2026,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,0|i01fbt:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_90829_*|*_10001_*:*_1_*:*_0,,,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 8:31 AM
Verificarea compatibilității meniului ”RUTI conform SNA” cu browser-ul Mozilla Firefox,NPT-111,19633,Test,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 8:13 AM,25/Jul/24 2:02 PM,25/Jul/24 8:29 PM,25/Jul/24 8:13 AM,,Primariatechirghiol.ro_versiunea_1.0_limba_română,,,0,"Verificarea faptului că meniul menționat în sumar se prezintă exact la fel pe browser-ul Mozilla Firefox, ca și atunci când utilizatorul final interacționează cu meniul utilizând browser-ul Google Chrome.

*Precondiții:* 

* Utilizatorul final deține un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Mozilla Firefox, împreună cu un set de periferice și monitor.
* Utilizatorul final se află pe pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Criterii de acceptanță:*

* Meniul nu reprezintă în continuare niciun pericol pentru poziționarea altor elemente din acea zonă a site-ului web, fiind corect amplasat.
* În cadrul meniului nu apar alte butoane sau alte elemente care nu au legătură cu meniul.
* Butoanele nu suferă modificări de natură să provoace defecte în urma schimbării rezoluției de vizualizare.
* Butoanele în continuare redirecționează utilizatorul final către site-urile web așteptate.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-112,NPT-44,NPT-45,NPT-46,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@157f285c,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,0|i01fbl:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_479_*|*_10001_*:*_1_*:*_0,,,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 8:13 AM
Documentul: ”Raport privind Strategia Nationala Anticoruptie pe anul 2019” nu are așezate corespunzător imaginile,NPT-110,19632,Bug,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,25/Jul/24 7:57 AM,25/Jul/24 8:28 PM,25/Jul/24 8:29 PM,25/Jul/24 8:09 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,Primariatechirghiol.ro_versiunea_1.0_limba_română,,,0,"Documentului amintit în sumar nu i s-au așezat într-un mod corespunzător imaginile.

*Precondiții* 

* Este utilizat pentru testare un calculator personal cu cel puțin Windows 10 Home, fiind instalat pe acesta browser-ul Microsoft Edge, împreună cu un set de periferice și monitor.
* Prezența trebuie să fie realizată pe pagina principală a site-ului web: [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].

*Pași de reproducere*

* Se accesează pagina principală a [https://www.primariatechirghiol.ro|https://www.primariatechirghiol.ro/].
* Pe urmă, se caută meniul ”RUTI conform SNA”.
* Se indentifică secțiunea: ”Rapoarte anuale”.
* Se apasă butonul stâng al mouse-ului/șoarecelui de pe suprafața pe care este așezată, click-ul fiind poziționat pe secțiunea: ”Rapoarte anuale”.
* După, se apasă butonul stâng al mouse-ului/șoarecelui de pe suprafața pe care este așezată, click-ul fiind poziționat pe documentul: ”Raport privind Strategia Nationala Anticoruptie pe anul 2019”.
* Se verifică așezarea imaginilor din document.

*Rezultate așteptate*

* Imaginile din document sunt așezate în mod corespunzător.

*Rezultate actuale*

* Imaginile din document nu sunt așezate corespunzător.",testare,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-46,,,,,,,,,,NPT-109,,,,,,,,,,25/Jul/24 8:08 AM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Screenshot (17758).png;https://itfclasses.atlassian.net/rest/api/3/attachment/content/11639,25/Jul/24 8:08 AM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Screenshot (17759).png;https://itfclasses.atlassian.net/rest/api/3/attachment/content/11640,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7c2e9d64,,,,,,,,,,,,NPT-30,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),,,,,,,,,,,,,,,,0|i01fbd:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_695742_*|*_10001_*:*_1_*:*_0,"25/Jul/24 8:08 AM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;

!Screenshot (17758).png|width=1373,height=1013,alt=""Screenshot (17758).png""!



!Screenshot (17759).png|width=1374,height=1009,alt=""Screenshot (17759).png""!",,18808,RUTI conform SNA-leftsidebar (prezent pe partea stângă a paginii),Done,25/Jul/24 8:09 AM
